test_id,test,ablation,model,county_id,weighted_mae,baseline_mae,delta_mae
B,2018_2022,A_previous_shares,elastic_net,25,0.013512439764783484,0.01537138985860327,-0.0018589500938197851
B,2018_2022,A_previous_shares,lightgbm,01,0.019094901207364796,0.017703452777308688,0.0013914484300561088
B,2018_2022,A_previous_shares,lightgbm,03,0.015271483052225088,0.014583587548819044,0.0006878955034060434
B,2018_2022,A_previous_shares,lightgbm,04,0.01412780825581698,0.012212805199016847,0.0019150030568001342
B,2018_2022,A_previous_shares,lightgbm,05,0.01392718983317252,0.012528280296783921,0.0013989095363885987
B,2018_2022,A_previous_shares,lightgbm,06,0.013138248162428728,0.012445628969866583,0.0006926191925621453
B,2018_2022,A_previous_shares,lightgbm,07,0.012672586938357095,0.012474773621412576,0.00019781331694451905
B,2018_2022,A_previous_shares,lightgbm,08,0.013474944247513812,0.012905442271696264,0.0005695019758175483
B,2018_2022,A_previous_shares,lightgbm,09,0.01332623799697879,0.014708640646379707,-0.0013824026494009163
B,2018_2022,A_previous_shares,lightgbm,10,0.011714532705547509,0.011714603252406782,-7.054685927272708e-8
B,2018_2022,A_previous_shares,lightgbm,12,0.016982780623321772,0.015580333156594336,0.0014024474667274356
B,2018_2022,A_previous_shares,lightgbm,13,0.013549327813344343,0.012325266400384107,0.0012240614129602357
B,2018_2022,A_previous_shares,lightgbm,14,0.014480756173061268,0.01244770647759152,0.002033049695469748
B,2018_2022,A_previous_shares,lightgbm,17,0.014298826111136424,0.014662532034729068,-0.00036370592359264396
B,2018_2022,A_previous_shares,lightgbm,18,0.015455833357568616,0.013993197935049323,0.0014626354225192924
B,2018_2022,A_previous_shares,lightgbm,19,0.014352516683229887,0.012900726657716905,0.001451790025512982
B,2018_2022,A_previous_shares,lightgbm,20,0.01326826605478269,0.013334617205333727,-0.00006635115055103787
B,2018_2022,A_previous_shares,lightgbm,21,0.012977548376091741,0.01318146236878423,-0.00020391399269248899
B,2018_2022,A_previous_shares,lightgbm,22,0.01611874933514602,0.01718478554675396,-0.0010660362116079389
B,2018_2022,A_previous_shares,lightgbm,23,0.013861537357354197,0.017279253664364426,-0.003417716307010229
B,2018_2022,A_previous_shares,lightgbm,24,0.013928985979929066,0.015880051632233726,-0.00195106565230466
B,2018_2022,A_previous_shares,lightgbm,25,0.014508423963558118,0.01537138985860327,-0.0008629658950451511
B,2018_2022,A_previous_shares,ridge,01,0.0209274657442808,0.017703452777308688,0.003224012966972112
B,2018_2022,A_previous_shares,ridge,03,0.01602670644320364,0.014583587548819044,0.0014431188943845943
B,2018_2022,A_previous_shares,ridge,04,0.014599179636689675,0.012212805199016847,0.0023863744376728287
B,2018_2022,A_previous_shares,ridge,05,0.013809850946576763,0.012528280296783921,0.001281570649792842
B,2018_2022,A_previous_shares,ridge,06,0.012950075293327147,0.012445628969866583,0.0005044463234605643
B,2018_2022,A_previous_shares,ridge,07,0.01344877611149756,0.012474773621412576,0.0009740024900849846
B,2018_2022,A_previous_shares,ridge,08,0.013107848391416809,0.012905442271696264,0.0002024061197205447
B,2018_2022,A_previous_shares,ridge,09,0.01356177316675741,0.014708640646379707,-0.0011468674796222978
B,2018_2022,A_previous_shares,ridge,10,0.013211686417812243,0.011714603252406782,0.0014970831654054616
B,2018_2022,A_previous_shares,ridge,12,0.01974127823685016,0.015580333156594336,0.004160945080255822
B,2018_2022,A_previous_shares,ridge,13,0.01372239902339105,0.012325266400384107,0.0013971326230069418
B,2018_2022,A_previous_shares,ridge,14,0.015205514953056424,0.01244770647759152,0.002757808475464904
B,2018_2022,A_previous_shares,ridge,17,0.014026587070713022,0.014662532034729068,-0.0006359449640160452
B,2018_2022,A_previous_shares,ridge,18,0.0160123760350695,0.013993197935049323,0.002019178100020178
B,2018_2022,A_previous_shares,ridge,19,0.015209883897641574,0.012900726657716905,0.0023091572399246696
B,2018_2022,A_previous_shares,ridge,20,0.013776005355841009,0.013334617205333727,0.00044138815050728114
B,2018_2022,A_previous_shares,ridge,21,0.013160920189756533,0.01318146236878423,-0.00002054217902769731
B,2018_2022,A_previous_shares,ridge,22,0.015610530735055068,0.01718478554675396,-0.001574254811698891
B,2018_2022,A_previous_shares,ridge,23,0.013369558134802596,0.017279253664364426,-0.00390969552956183
B,2018_2022,A_previous_shares,ridge,24,0.013469700476868126,0.015880051632233726,-0.0024103511553656004
B,2018_2022,A_previous_shares,ridge,25,0.013576812829440846,0.01537138985860327,-0.0017945770291624228
B,2018_2022,B_plus_structure,elastic_net,01,0.020193651331060485,0.017703452777308688,0.002490198553751797
B,2018_2022,B_plus_structure,elastic_net,03,0.015315711855023674,0.014583587548819044,0.00073212430620463
B,2018_2022,B_plus_structure,elastic_net,04,0.014027549161565251,0.012212805199016847,0.0018147439625484044
B,2018_2022,B_plus_structure,elastic_net,05,0.013286883696790137,0.012528280296783921,0.0007586034000062157
B,2018_2022,B_plus_structure,elastic_net,06,0.01243365370843368,0.012445628969866583,-0.000011975261432903977
