wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,KD,0.487737254046,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,L,0.029413867126,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,M,0.176575778150,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,MP,0.019321227396,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,OTHER,0.016017134146,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,S,0.016425050776,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,SD,0.110307813941,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,V,0.000000000001,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,C,0.109368213976,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,KD,0.028543100173,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,L,0.515714269290,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,M,0.218808587856,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,MP,0.011291989847,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,OTHER,0.032094734081,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,S,0.058344190132,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,SD,0.025834914643,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,L,V,0.000000000001,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,C,0.065320434978,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,KD,0.008182769678,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,L,0.027601040971,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,M,0.739615646624,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,MP,0.005780716053,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,OTHER,0.009148678122,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,S,0.022784061140,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,SD,0.117010578203,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,M,V,0.004556074232,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,C,0.107796999603,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,KD,0.006751930082,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,L,0.033006842452,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,M,0.061181595019,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,MP,0.426111039628,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,OTHER,0.040261011825,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,S,0.204957286211,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,SD,0.029707723533,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,MP,V,0.090225571647,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,C,0.057712273644,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,KD,0.007116722285,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,L,0.000000000001,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,M,0.027637330498,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,MP,0.079005254095,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,OTHER,0.346851205276,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,S,0.157193962564,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,SD,0.035786020218,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,OTHER,V,0.288697231419,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,C,0.017403687588,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,KD,0.003153475997,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,L,0.011099363380,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,M,0.042862119945,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,MP,0.017822180054,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,OTHER,0.009401914184,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,S,0.783704638318,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,SD,0.080606767026,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,S,V,0.033945853509,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,C,0.002362527194,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,KD,0.004994268153,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,L,0.002343792357,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,M,0.051590479783,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,MP,0.000000000001,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,OTHER,0.012762972115,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,S,0.006544006660,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,SD,0.911615847009,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,SD,V,0.007786106726,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,C,0.024609072246,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,KD,0.004161791020,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,L,0.000000000001,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,M,0.011313432294,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,MP,0.029400964596,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,OTHER,0.035895004286,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,S,0.113154087224,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,SD,0.035314855580,2018
